ID;Prénom;Nom;En recherche ?;Email;Photo de profil;Date de naissance;Niveau d'études;Formations;Expériences professionnelles;Compétences;LinkedIn;Régions recherchées
1;Jean-Eudes;ROGER;1;jean-eudes@gmail.com;https://burst.shopifycdn.com/photos/portrait-young-man-smiling.jpg?width=1000&format=pjpg&exif=0&iptc=0;18/12/1999;Bac + 2;1,2;1,2,3;;https://www.linkedin.com/in/jean-eudes-roger;Bretagne,Pays de la Loire,Basse-Normandie
2;Zakaria;BICHON;1;zakariadu44@gmail.com;https://burst.shopifycdn.com/photos/stylish-man-in-bow-tie.jpg?width=1000&format=pjpg&exif=0&iptc=0;06/05/1990;Bac;3,4;4,5,6;;https://www.linkedin.com/in/zakaria-bichon;Centre,Bourgogne
3;Marie-Ange;LA BRANCHE;1;marie-ange@free.fr;https://burst.shopifycdn.com/photos/woman-portrait-on-pink-brick.jpg?width=1000&format=pjpg&exif=0&iptc=0;14/09/1988;Bac;5;7,8;;https://www.linkedin.com/in/marie-ange-la-branche;Limousin
4;Géraldine;DE MONACO;0;geraldine@monaco.com;https://burst.shopifycdn.com/photos/woman-outside-brownstone.jpg?width=1850&format=pjpg&exif=1&iptc=1;05/07/1987;Bac + 2;6,7;9;;https://www.linkedin.com/in/geraldine-de-monaco;Bretagne,Aquitaine,Auvergne,Lorraine
5;Matéo;GUOGE;0;matguoge@gmail.com;https://burst.shopifycdn.com/photos/friendly-smiling-man.jpg?width=1000&format=pjpg&exif=1&iptc=1;28/04/1978;Bac + 3;8,9,10;10,11,12;;https://www.linkedin.com/in/mateo-guoge;Ile de France
6;Mohamed;RAMTAH;1;mohamed@gmail.com;https://burst.shopifycdn.com/photos/smiling-man-in-blue.jpg?width=1000&format=pjpg&exif=0&iptc=0;22/01/2000;Bac + 5;11,12,13,14,15;13,14,15,16,17;;https://www.linkedin.com/in/mohamed-ramtah;Ile de France
7;Leslie;LEROUX;1;leslie@gmail.com;https://burst.shopifycdn.com/photos/young-business-woman-smiling-portrait.jpg?width=1850&format=pjpg&exif=1&iptc=1;15/03/1995;Bac;16;18,19,20,21;;https://www.linkedin.com/in/leslie-leroux;Bretagne
8;Salma;ADJAMAGBO;1;salma@gmail.com;https://burst.shopifycdn.com/photos/model-poses-in-velvet-fashion.jpg?width=1000&format=pjpg&exif=0&iptc=0;12/12/1996;Bac + 4;17,18;22;;https://www.linkedin.com/in/salma-adjamagbo;Nord Pas de Calais
9;Audrey;BRULLON;0;audreybrullon@gmail.com;https://media-exp1.licdn.com/dms/image/C5603AQEg3eEPvfy7LQ/profile-displayphoto-shrink_800_800/0/1608671326581?e=1635379200&v=beta&t=gGmtHegtAr9dPJ0-Wv0IM2oPXx1QdPq2dqMLCxS2MGo;24/05/1997;Bac + 3;19;23,24;;https://www.linkedin.com/in/audrey-brullon;Alsace,Lorraine
10;Jason;FOUASSON;1;jasonfouasson@mail.com;https://media-exp1.licdn.com/dms/image/C4D03AQENW4kvXCJECw/profile-displayphoto-shrink_800_800/0/1608574177510?e=1635379200&v=beta&t=F1zvA7Z0EinVmw6e1IA5W8d1jFe6sMaFmuKt5ckQur4;30/03/1985;Bac + 3;20,21,22;25;;https://www.linkedin.com/in/jason-fouasson;Auvergne
11;Killian;LEROUX;0;killian@lamacompta.co;https://media-exp1.licdn.com/dms/image/C4D03AQFgY5dygsYCIg/profile-displayphoto-shrink_800_800/0/1608730873091?e=1635379200&v=beta&t=mS4H-SeEZiVFRyRdkCxWvyZwv1TLyCmV8PoaT4QXkGQ;27/06/1990;Bac + 5;23,24,25,26;26,27;;https://www.linkedin.com/in/killian-leroux;Midi-Pyrénées
